Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C15, C22, C24, C6, C7",1206,8,1uF,
"C12, C14",1206,2,22pF,
"C13, C16, C17",1206,3,100nF,
"C2, C27",CP_Radial_D16.0mm_P7.50mm,2,47uF,
C21,CP_Elec_6.3x7.7,1,100uF,
"C26, C5",C_Disc_D19.0mm_W3.0mm_P10.00mm,2,100nF,
"C28, C29",1206,2,2n2,
"C3, C4, C8, C9",CP_EIA-3216-18_Kemet-A,4,10uF,
C30,1206,1,3n3,
"C31, C32, C33, C34",1206,4,10nF,
"C35, C36",1206,2,33nF,
"D1, D2, D3, D4, D5, D6",D_DO-201AD_P5.08mm_Vertical_KathodeUp,6,1N5408,
D7,D_SMA,1,SS14,
D8,D_SMA,1,1N4007,
J1,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,Screw_Terminal_01x03,
"J2, J3","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C,
J5,IDC-Header_2x05_P2.54mm_Vertical,1,SWD,
J7,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,ENCODER,
JP1,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,1,~,
"L1, L2",L_7.3x7.3_H4.5,2,100uH,
L3,L_Toroid_Vertical_L16.0mm_W8.0mm_P7.62mm,1,1mH,
M1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Fan,
PS1,Converter_ACDC_HiLink_HLK-PMxx,1,HLK-PM12,
Q1,SOT-23,1,MMBT3904,
"Q2, Q3",TO-220-3_Vertical,2,FDP11N50,
R1,R_Box_L14.0mm_W5.0mm_P9.00mm,1,0R1,
"R10, R9",1206,2,10k,
"R11, R19",1206,2,100R,
"R12, R14",1206,2,180k,
"R13, R15",1206,2,1k5,
"R16, R3",1206,2,1k,
R17,1206,1,6k8,
R18,1206,1,33k,
R2,1206,1,1R,
"R20, R21, R4, R5, R6",1206,5,3k3,
"R7, R8",1206,2,47R,
U1,SOT-223-3_TabPin2,1,AMS1117-5.0,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOT-23-6,1,MCP4725xxx-xCH,
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,IR2101,
U6,TSSOP-14_4.4x5mm_P0.65mm,1,LM324,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
